danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,liked
0.273,0.163,7,-15.889,1,0.0306,0.853,1.01e-06,0.0835,0.202,68.994,1
0.784,0.75,7,-6.815,1,0.0459,0.233,0.21,0.107,0.358,130.024,0
0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069,1
0.583,0.625,1,-8.011,1,0.277,0.506,0,0.196,0.516,89.812,1
0.716,0.712,4,-6.247,1,0.128,0.218,0,0.112,0.562,84.978,0
0.52,0.571,11,-10.326,0,0.036,0.168,5.14e-06,0.17,0.701,161.051,1
0.715,0.652,6,-7.909,0,0.396,0.101,0,0.11,0.498,109.28,1
0.593,0.287,2,-11.496,1,0.0631,0.832,0.000128,0.104,0.238,149.761,1
0.724,0.6,1,-6.25,0,0.087,0.28,6.83e-05,0.108,0.201,164.037,0
0.595,0.723,1,-5.703,0,0.0318,0.0107,0,0.0984,0.247,151.052,0
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,1
0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,1
0.921,0.732,11,-3.533,0,0.315,0.153,0,0.0817,0.627,140.975,0
0.622,0.935,10,-2.265,1,0.128,0.0195,0,0.582,0.506,125.02,0
0.413,0.64,8,-5.811,1,0.0427,0.273,0,0.11,0.149,75.245,0
0.737,0.57,7,-6.973,1,0.0832,0.000765,0.00277,0.0299,0.683,111.986,0
0.821,0.601,11,-5.795,0,0.37,0.341,0,0.109,0.435,143.133,0
0.673,0.724,8,-6.736,0,0.439,0.332,1.97e-06,0.072,0.617,194.105,0
0.519,0.809,1,-6.362,1,0.556,0.388,0,0.275,0.262,146.02,1
0.925,0.549,7,-6.572,1,0.0656,0.396,0.000154,0.11,0.0904,100.014,1
0.73,0.739,6,-4.724,1,0.0459,0.0421,0,0.336,0.552,98.955,0
0.694,0.676,6,-8.332,1,0.0307,0.287,0.0563,0.144,0.23,102.004,0
0.703,0.81,4,-5.5,1,0.0393,0.0324,0.000217,0.155,0.832,129.96,0
0.755,0.709,2,-4.652,1,0.0873,0.000169,0,0.488,0.443,125.007,0
0.447,0.422,1,-11.076,0,0.167,0.872,5.6e-06,0.102,0.77,165.695,1
0.528,0.447,4,-15.255,1,0.0435,0.189,0,0.0745,0.292,72.58,0
0.428,0.536,8,-9.461,0,0.268,0.00224,0,0.0762,0.33,76.651,0
0.543,0.327,0,-12.749,1,0.0625,0.933,1.22e-06,0.685,0.291,68.974,1
0.897,0.445,7,-10.121,1,0.2,0.206,0,0.0863,0.907,132.021,0
0.619,0.589,2,-8.449,1,0.0893,0.0381,0.0261,0.281,0.11,93.936,0
0.377,0.388,2,-10.233,1,0.0303,0.637,0,0.13,0.334,101.356,1
0.433,0.69,0,-7.218,1,0.227,0.0672,1.35e-06,0.119,0.818,87.01,0
0.539,0.731,3,-5.085,0,0.453,0.112,1.19e-06,0.129,0.568,81.114,1
0.52,0.807,2,-6.281,1,0.409,0.24,0.00257,0.199,0.628,178.012,1
0.776,0.875,4,-5.535,1,0.0575,0.0343,0,0.314,0.849,111.988,0
0.667,0.523,10,-9.477,0,0.329,0.532,2.12e-05,0.137,0.409,143.934,1
0.57,0.584,2,-11.708,1,0.405,0.321,0,0.0868,0.107,102.19,1
0.74,0.643,9,-8.395,1,0.0432,0.0149,0.000357,0.259,0.515,93.986,0
0.79,0.624,7,-6.925,1,0.0442,0.00158,0.00044,0.133,0.636,145.05,0
0.787,0.703,9,-5.851,1,0.154,0.126,0,0.186,0.621,94.972,0
0.698,0.666,5,-4.716,1,0.248,0.0948,3.82e-06,0.0624,0.718,164.049,0
0.402,0.551,1,-6.764,1,0.0483,0.000428,0,0.0652,0.414,109.284,0
